metric,value,note
rag_documents_rows,482.0,문서 메타데이터 행 수
rag_chunks_rows,523.0,RAG 임베딩 후보 청크 행 수
site_gap_note_rows_added,10.0,이번 보강에서 추가한 공식 사이트 누락/제공 한계 메모
site_check_checked_at,2026-05-27T00:12:34+09:00,4개 AI 학과 사이트를 브라우저/공개 페이지 기준으로 확인한 시점
rag_chunks_exact_duplicate_text,0.0,chunk_text 완전 동일 중복 수
rag_chunks_missing_source_url,0.0,source_url 비어 있는 chunk 수
rag_chunks_missing_crawled_at,0.0,crawled_at 비어 있는 chunk 수
rag_chunks.source_type,"person: 246, course: 109, admission: 63, page_section: 47, attachment_pdf: 26, asset: 16, site_gap_note: 10, event: 4, contact: 2",source_type별 분포
people_clean_rows,246.0,교수/구성원 정형 행 수
courses_clean_rows,109.0,교과목 정형 행 수
admissions_clean_rows,74.0,입학 정형 행 수
events_clean_rows,4.0,행사 정형 행 수
assets_clean_rows,494.0,링크/이미지/외부자원 행 수
attachments_clean_rows,4.0,PDF 첨부 행 수
